Date,Realized_Ret,SvOLHC,SvOLHC_n10,sGARCH_norm_mu,sGARCH_norm_sigma,sGARCH_std_mu,sGARCH_std_sigma,sGARCH_std_skew,sGARCH_std_shape,sGARCH_sstd_mu,sGARCH_sstd_sigma,sGARCH_sstd_skew,sGARCH_sstd_shape,eGARCH_norm_mu,eGARCH_norm_sigma,eGARCH_std_mu,eGARCH_std_sigma,eGARCH_std_skew,eGARCH_std_shape,eGARCH_sstd_mu,eGARCH_sstd_sigma,eGARCH_sstd_skew,eGARCH_sstd_shape,gjrGARCH_norm_mu,gjrGARCH_norm_sigma,gjrGARCH_std_mu,gjrGARCH_std_sigma,gjrGARCH_std_skew,gjrGARCH_std_shape,gjrGARCH_sstd_mu,gjrGARCH_sstd_sigma,gjrGARCH_sstd_skew,gjrGARCH_sstd_shape,apARCH_norm_mu,apARCH_norm_sigma,apARCH_std_mu,apARCH_std_sigma,apARCH_std_skew,apARCH_std_shape,apARCH_sstd_mu,apARCH_sstd_sigma,apARCH_sstd_skew,apARCH_sstd_shape
4/17/2012,1.536791888,0.815503172,0.792476151,0.091741772,1.013264902,0.114152484,1.035082593,0,5.017331004,0.086889656,1.011192056,0.905382846,5.445074793,0.021793108,1.20818581,0.066589149,1.260688661,0,5.786166502,0.026274142,1.27253539,0.836821044,6.289093337,0.043209968,1.080789062,0.078932491,1.129033115,0,5.84318077,0.045352,1.116607456,0.867690156,6.350336988,0.035424259,1.180328288,0.07001664,1.273868094,0,5.885300155,0.038839482,1.286033469,0.848463807,6.465867253
4/18/2012,-0.406352327,0.778548726,0.79760461,-0.005845074,1.078296452,0.030150932,1.106431012,0,4.937065789,-0.009684545,1.084607421,0.906420126,5.388582352,-0.029736439,1.088233945,-0.001419247,1.120844144,0,5.694322329,-0.049660817,1.122973393,0.830649853,6.215865603,-0.023609288,1.035502641,0.006572221,1.082801054,0,5.716275756,-0.038439843,1.071888144,0.865405406,6.251385382,-0.045996512,1.102519492,-0.020815644,1.181558394,0,5.710114803,-0.054176514,1.183703735,0.848245932,6.353449668
4/19/2012,-0.595209682,0.818104596,0.802400838,0.119031472,1.026738564,0.138358823,1.050809264,0,5.011131987,0.115600635,1.030574388,0.908929585,5.461601265,0.035811202,1.100499992,0.084870967,1.135408495,0,5.749078161,0.045630811,1.139251362,0.834454881,6.292526402,0.062374107,0.999706037,0.099657826,1.038431592,0,5.79551757,0.069205625,1.025753762,0.868546678,6.346246071,0.058116055,1.078093987,0.095387723,1.165028535,0,5.76508301,0.067152083,1.170334544,0.850552217,6.413560351
4/20/2012,0.116859328,0.82645997,0.809260868,0.129346314,1.000471219,0.145487523,1.022946964,0,5.080235251,0.125496399,1.003457114,0.913035163,5.523884576,0.041338823,1.1523856,0.090839036,1.198231983,0,5.797018675,0.054180124,1.204698216,0.840481961,6.36052758,0.068934936,0.994253019,0.105458383,1.032055585,0,5.875333996,0.077751958,1.018369949,0.873191148,6.436804853,0.067118432,1.11262164,0.10313547,1.227298887,0,5.792709757,0.077401605,1.241600835,0.854604144,6.409894685
4/23/2012,-0.844304899,0.851529017,0.817184483,0.083205353,0.947820168,0.104986977,0.965865023,0,5.141985969,0.079594135,0.949458707,0.912735891,5.579164812,0.017198504,1.098449999,0.059458513,1.138503373,0,5.857736618,0.02040915,1.149736363,0.840907178,6.415886747,0.037058873,0.949078456,0.070852839,0.976502795,0,5.941241959,0.038636178,0.964975974,0.873443694,6.492700807,0.029347665,1.025378933,0.061442628,1.10167153,0,5.873058492,0.032859632,1.11209314,0.856436364,6.478650992
4/24/2012,0.367299813,0.809032585,0.817097323,0.144227231,0.95090868,0.156644407,0.967406709,0,5.303559762,0.139475444,0.949678905,0.913461168,5.748738743,0.050056915,1.188145804,0.100192502,1.2398037,0,5.99177147,0.06661006,1.253479188,0.843126649,6.567577003,0.079171701,0.981960337,0.114728052,1.013196529,0,6.123759671,0.090215431,1.000135185,0.874861055,6.68980271,0.080567257,1.093683247,0.117727634,1.199776485,0,6.037948558,0.094158583,1.21659454,0.857588121,6.665985214
4/25/2012,1.355236368,0.790154443,0.811651235,0.065235968,0.905699739,0.088040727,0.919385299,0,5.329080745,0.06225565,0.904697046,0.915233634,5.765769462,0.008119457,1.119167842,0.046988693,1.162642195,0,5.986772991,0.009318366,1.175733771,0.84723172,6.569210955,0.024223819,0.938017061,0.056141629,0.960927223,0,6.139728349,0.0240962,0.949551516,0.877093024,6.701726415,0.014928576,1.023754379,0.044045443,1.099184866,0,6.047752356,0.013856384,1.110424155,0.861197434,6.647548807
4/26/2012,0.665792395,0.802221388,0.810444605,0.003737274,0.962182493,0.035573574,0.970430851,0,5.47143996,0.003619934,0.958722768,0.914962533,5.932440342,-0.026227443,1.011229665,0.004014356,1.027899753,0,6.129460103,-0.037770526,1.033780446,0.843673887,6.723504119,-0.018109198,0.900077699,0.010954297,0.914507417,0,6.299938432,-0.02621682,0.905109699,0.876632273,6.895426567,-0.034422027,0.948864001,-0.00950204,0.996421329,0,6.188756235,-0.04470031,1.006818674,0.860265597,6.807430008
4/27/2012,0.241141042,0.800644567,0.81163069,0.053163262,0.940380514,0.079566129,0.946678806,0,5.394490382,0.051858835,0.937935409,0.914072086,5.855236433,0.000949545,0.942730112,0.038251196,0.945104875,0,6.156609002,-0.00261179,0.948335349,0.839553561,6.788893499,0.017351277,0.864928881,0.049060252,0.873375537,0,6.263043466,0.015099071,0.864959734,0.873627465,6.884069595,0.006103958,0.898788254,0.037874637,0.918755102,0,6.256719358,0.002292212,0.922274083,0.860166726,6.964669312
4/30/2012,-0.389109716,0.763022681,0.805522115,0.080580622,0.894679667,0.102110568,0.899239901,0,5.409528477,0.078034883,0.892719963,0.915680027,5.862211411,0.016869159,0.897399785,0.056986004,0.895447363,0,6.120398314,0.018717932,0.900635868,0.842054792,6.733951332,0.03610326,0.829653878,0.068294255,0.83177834,0,6.253497743,0.037441277,0.824755068,0.875289309,6.860045019,0.028895056,0.851755021,0.060756313,0.856158419,0,6.23486103,0.028492059,0.857280213,0.861610809,6.914601262
5/1/2012,0.564249838,0.797927543,0.803764552,0.118513505,0.865012801,0.132368077,0.870661381,0,5.384194412,0.11406743,0.863775819,0.919754035,5.807556877,0.036474557,0.929489695,0.080897581,0.938130497,0,6.016931576,0.04688,0.944920028,0.847442725,6.592774886,0.061419676,0.817390941,0.093930067,0.820309839,0,6.194399449,0.06819697,0.812111731,0.879599107,6.764970334,0.059746928,0.859847872,0.091447449,0.88436868,0,6.111112661,0.066539183,0.893279517,0.863473378,6.697111219
5/2/2012,-0.249988557,0.821258943,0.808035573,0.061221378,0.837099961,0.08669874,0.842570641,0,5.28153043,0.060746022,0.836872444,0.918410565,5.707727265,0.005967199,0.872481121,0.044950485,0.872102364,0,5.936912329,0.005781737,0.877879713,0.844529459,6.532687796,0.022730844,0.787082694,0.055097211,0.785851505,0,6.083718526,0.022131497,0.77829991,0.877079833,6.667281995,0.018514252,0.79746698,0.045834485,0.818276384,0,5.938633183,0.010622999,0.821040256,0.864575517,6.537278141
5/3/2012,-0.768827072,0.758986153,0.802123729,0.110241978,0.804698992,0.125000358,0.810909733,0,5.230992201,0.105996889,0.805133739,0.922448894,5.626743913,0.030000212,0.883233518,0.074906315,0.890785627,0,5.845549269,0.040131191,0.897396093,0.849444473,6.407362305,0.054691907,0.766512922,0.087661622,0.76373432,0,6.008484717,0.060919029,0.755596849,0.881228471,6.555331247,0.052726451,0.782935893,0.083893009,0.820805645,0,5.797766464,0.05643785,0.828594407,0.865752689,6.319982291
5/4/2012,-1.627901649,0.775063222,0.796984054,0.139413368,0.822909795,0.148890262,0.833167037,0,5.138522752,0.134033686,0.824101929,0.924430101,5.502884358,0.042282959,0.985578041,0.092321197,1.010941231,0,5.752328979,0.061188909,1.021167584,0.85068646,6.287826754,0.073436278,0.82003382,0.108296154,0.832206198,0,5.882859041,0.085144914,0.822348011,0.881954088,6.398494461,0.073408517,0.820918364,0.107177029,0.958543811,0,5.649180772,0.084722705,0.970338922,0.868522056,6.095227691
5/7/2012,0.035053384,0.723001484,0.784131301,0.183166935,0.976412388,0.185997662,0.989401854,0,5.211808805,0.176679084,0.972483832,0.918672896,5.615008754,0.061417576,1.237712006,0.118255739,1.293103695,0,5.862602052,0.091822519,1.311842927,0.846862048,6.410172969,0.100193755,1.073767363,0.138586152,1.119299355,0,5.991617997,0.120882005,1.113402403,0.877163699,6.536693138,0.099794947,1.065882813,0.146932711,1.24794824,0,5.685470559,0.131195658,1.26254193,0.865962989,6.136399607
5/8/2012,-0.428786374,0.82658,0.785886042,0.090963132,0.92940581,0.107140172,0.942517139,0,5.1087364,0.086403384,0.928495048,0.926089105,5.42055745,0.021596388,1.189696862,0.062104668,1.238869921,0,5.892951298,0.028694196,1.258377841,0.855994302,6.33597556,0.042335648,1.029949809,0.073554372,1.062653717,0,5.892951027,0.04531579,1.056893624,0.88504499,6.290627647,0.047659912,0.952510372,0.066569732,1.17260855,0,5.748849217,0.039606438,1.183269402,0.876436569,6.036247544
5/9/2012,-0.672481657,0.892908348,0.796161433,0.113223795,0.897081449,0.128317303,0.915971442,0,4.991885886,0.110620544,0.901716942,0.928845874,5.285445843,0.03280519,1.191753973,0.081122557,1.244205797,0,5.787856787,0.051245444,1.262079056,0.862093279,6.200000744,0.056944002,0.994445744,0.092323733,1.028024429,0,5.762122928,0.067336348,1.020096863,0.888234713,6.129412856,0.062984801,0.924327424,0.091434936,1.118185494,0,5.52997884,0.06732063,1.12558365,0.885508301,5.758274194
